Symbol,Entry Date,Exit Date,Quantity,Buy Value,Sell Value,Actualised Profit,Buy Price Per Unit,Sell Price Per Unit,Buy Condition 50 DMA,Buy Condition 200 DMA,Entry 50 DMA Value,Entry 200 DMA Value,DMA Diff on Entry,Sell Condition 50 DMA,Sell Condition 200 DMA,Exit 50 DMA Value,Exit 200 DMA Value,DMA Diff on Exit,Buy Verdict,Current Price,Price Change Since Sell,Sell Verdict,Opportunity Cost/Gain,Actualised Profit (Formatted),Entry FY,Exit FY
JSFB,2024-04-30,2024-04-30,8,4534.0,4772.4,238.4,566.75,596.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good call,453.6000061035156,-23.96%,Good call,"-1,143.60",238.40,FY 2024-25,FY 2024-25
JSFB,2024-04-30,2024-04-30,1,566.75,596.55,29.8,566.75,596.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good call,453.6000061035156,-23.96%,Good call,-142.95,29.80,FY 2024-25,FY 2024-25
JSFB,2024-04-30,2024-04-30,15,8501.25,8948.25,447.0,566.75,596.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good call,453.6000061035156,-23.96%,Good call,"-2,144.25",447.00,FY 2024-25,FY 2024-25
JSFB,2024-04-30,2024-04-30,15,8502.0,8948.25,446.25,566.8,596.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good call,453.6000061035156,-23.96%,Good call,"-2,144.25",446.25,FY 2024-25,FY 2024-25
JSFB,2024-04-30,2024-04-30,8,4534.4,4772.4,238.0,566.8,596.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good call,453.6000061035156,-23.96%,Good call,"-1,143.60",238.00,FY 2024-25,FY 2024-25
JSFB,2024-04-30,2024-04-30,11,6235.35,6562.05,326.7,566.85,596.5500000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good call,453.6000061035156,-23.96%,Good call,"-1,572.45",326.70,FY 2024-25,FY 2024-25
JSFB,2024-04-30,2024-04-30,4,2267.6,2386.2,118.6,566.9,596.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good call,453.6000061035156,-23.96%,Good call,-571.80,118.60,FY 2024-25,FY 2024-25
JSFB,2024-04-30,2024-04-30,25,14172.5,14913.75,741.25,566.9,596.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good call,453.6000061035156,-23.96%,Good call,"-3,573.75",741.25,FY 2024-25,FY 2024-25
JSFB,2024-04-30,2024-04-30,4,2267.6,2386.2,118.6,566.9,596.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good call,453.6000061035156,-23.96%,Good call,-571.80,118.60,FY 2024-25,FY 2024-25
JSFB,2024-04-30,2024-04-30,1,566.9,596.55,29.65,566.9,596.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good call,453.6000061035156,-23.96%,Good call,-142.95,29.65,FY 2024-25,FY 2024-25
JSFB,2024-04-30,2024-04-30,8,4535.6,4772.4,236.8,566.95,596.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Good call,453.6000061035156,-23.96%,Good call,"-1,143.60",236.80,FY 2024-25,FY 2024-25
EASEMYTRIP,2024-05-07,2024-05-07,1,44.6,45.15,0.55,44.6,45.15,-3.28%,+3.26%,22.90,21.45,+6.75%,-3.28%,+3.26%,22.90,21.45,+6.75%,Good call,7.980000019073486,-82.33%,Good call,-37.17,0.55,FY 2024-25,FY 2024-25
SELAN,2024-05-07,2024-05-07,20,13177.0,14177.0,1000.0,658.85,708.85,+34.76%,+54.49%,525.46,458.33,+14.65%,+34.76%,+54.49%,525.46,458.33,+14.65%,Good call,515.2000122070312,-27.32%,Good call,"-3,873.00","1,000.00",FY 2024-25,FY 2024-25
SELAN,2024-05-07,2024-05-07,15,10560.75,10650.75,90.0,704.05,710.05,+34.76%,+54.49%,525.46,458.33,+14.65%,+34.76%,+54.49%,525.46,458.33,+14.65%,Good call,515.2000122070312,-27.44%,Good call,"-2,922.75",90.00,FY 2024-25,FY 2024-25
SELAN,2024-05-07,2024-05-07,5,3520.25,3550.0,29.75,704.05,710.0,+34.76%,+54.49%,525.46,458.33,+14.65%,+34.76%,+54.49%,525.46,458.33,+14.65%,Good call,515.2000122070312,-27.44%,Good call,-974.00,29.75,FY 2024-25,FY 2024-25
SELAN,2024-05-07,2024-05-07,20,14221.0,14200.0,-21.0,711.05,710.0,+34.76%,+54.49%,525.46,458.33,+14.65%,+34.76%,+54.49%,525.46,458.33,+14.65%,Bad call,515.2000122070312,-27.44%,Good call,"-3,896.00",-21.00,FY 2024-25,FY 2024-25
ITDCEM,2024-09-26,2024-09-26,2,1077.0,1077.0,0.0,538.5,538.5,+3.07%,+34.20%,521.90,400.83,+30.20%,+3.07%,+34.20%,521.90,400.83,+30.20%,Break-even,799.6500244140625,48.50%,Wrong early sell,522.30,0.00,FY 2024-25,FY 2024-25
ITDCEM,2024-09-26,2024-09-26,8,4308.0,4308.0,0.0,538.5,538.5,+3.07%,+34.20%,521.90,400.83,+30.20%,+3.07%,+34.20%,521.90,400.83,+30.20%,Break-even,799.6500244140625,48.50%,Wrong early sell,"2,089.20",0.00,FY 2024-25,FY 2024-25
NETWEB,2024-10-03,2024-10-03,1,2417.2,2465.0,47.8,2417.2,2465.0,-4.76%,+21.16%,2512.87,1975.28,+27.22%,-4.76%,+21.16%,2512.87,1975.28,+27.22%,Good call,3911.0,58.66%,Wrong early sell,"1,446.00",47.80,FY 2024-25,FY 2024-25
