Price vs 50 DMA,Price vs 200 DMA,DMA Diff at Entry,Total Trades,Good Call Count,Bad Call Count,% Good Call,% Bad Call
0 to 5,10 to 15,10 to 15,104,91,13,87.5,12.5
5 to 10,20 to 25,10 to 15,100,97,3,97.0,3.0
-5 to 0,5 to 10,10 to 15,45,31,14,68.89,31.11
0 to 5,10 to 15,5 to 10,39,34,5,87.18,12.82
-5 to 0,-5 to 0,0 to 5,33,30,3,90.91,9.09
-5 to 0,0 to 5,5 to 10,27,14,13,51.85,48.15
15 to 20,-10 to -5,-25 to -20,27,9,18,33.33,66.67
-5 to 0,10 to 15,10 to 15,26,16,10,61.54,38.46
-5 to 0,5 to 10,5 to 10,26,25,1,96.15,3.85
0 to 5,5 to 10,0 to 5,24,21,3,87.5,12.5
25 to 30,15 to 20,-10 to -5,23,23,0,100.0,0.0
0 to 5,5 to 10,5 to 10,20,12,8,60.0,40.0
5 to 10,-10 to -5,-20 to -15,20,6,14,30.0,70.0
10 to 15,25 to 30,10 to 15,19,7,12,36.84,63.16
20 to 25,-10 to -5,-30 to -25,18,0,18,0.0,100.0
10 to 15,-10 to -5,-15 to -10,17,0,17,0.0,100.0
-10 to -5,5 to 10,10 to 15,17,11,6,64.71,35.29
5 to 10,-20 to -15,-25 to -20,16,16,0,100.0,0.0
5 to 10,10 to 15,5 to 10,16,3,13,18.75,81.25
0 to 5,15 to 20,10 to 15,16,14,2,87.5,12.5
20 to 25,-10 to -5,-25 to -20,16,0,16,0.0,100.0
-10 to -5,0 to 5,10 to 15,15,0,15,0.0,100.0
-5 to 0,0 to 5,0 to 5,14,6,8,42.86,57.14
20 to 25,-15 to -10,-30 to -25,13,9,4,69.23,30.77
5 to 10,35 to 40,25 to 30,13,13,0,100.0,0.0
15 to 20,-5 to 0,-15 to -10,13,13,0,100.0,0.0
0 to 5,-10 to -5,-15 to -10,12,12,0,100.0,0.0
5 to 10,0 to 5,-10 to -5,12,12,0,100.0,0.0
5 to 10,15 to 20,10 to 15,12,12,0,100.0,0.0
-10 to -5,0 to 5,5 to 10,11,8,3,72.73,27.27
