Symbol,Primary Issue,Buy Condition 50 DMA,Buy Condition 200 DMA,DMA Diff on Entry,Entry Mistake,Sell Condition 50 DMA,Sell Condition 200 DMA,DMA Diff on Exit,Exit Mistake,Buy Verdict,Sell Verdict,Price Change Since Sell
KAYNES,BOTH: Bad Entry + Early Exit,21.76,16.23,-4.54,Death Cross (50<200) | Overbought (>15% above DMA),-1.03,1.49,2.54,Sold during improving trend | Panic sold crossing below 50 DMA | Moderate miss (19.3% left on table),Bad call,Wrong early sell,19.32
KAYNES,BOTH: Bad Entry + Early Exit,21.76,16.23,-4.54,Death Cross (50<200) | Overbought (>15% above DMA),-1.03,1.49,2.54,Sold during improving trend | Panic sold crossing below 50 DMA | Moderate miss (19.3% left on table),Bad call,Wrong early sell,19.33
KAYNES,BOTH: Bad Entry + Early Exit,21.76,16.23,-4.54,Death Cross (50<200) | Overbought (>15% above DMA),-1.03,1.49,2.54,Sold during improving trend | Panic sold crossing below 50 DMA | Moderate miss (19.3% left on table),Bad call,Wrong early sell,19.33
KAYNES,BOTH: Bad Entry + Early Exit,21.76,16.23,-4.54,Death Cross (50<200) | Overbought (>15% above DMA),-1.03,1.49,2.54,Sold during improving trend | Panic sold crossing below 50 DMA | Moderate miss (19.3% left on table),Bad call,Wrong early sell,19.33
KAYNES,BOTH: Bad Entry + Early Exit,21.76,16.23,-4.54,Death Cross (50<200) | Overbought (>15% above DMA),-1.03,1.49,2.54,Sold during improving trend | Panic sold crossing below 50 DMA | Moderate miss (19.3% left on table),Bad call,Wrong early sell,19.33
KAYNES,BOTH: Bad Entry + Early Exit,21.76,16.23,-4.54,Death Cross (50<200) | Overbought (>15% above DMA),-1.03,1.49,2.54,Sold during improving trend | Panic sold crossing below 50 DMA | Moderate miss (19.2% left on table),Bad call,Wrong early sell,19.17
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.12
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.12
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.12
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.12
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.12
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.09
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.09
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.09
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.09
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.09
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.09
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.09
CDSL,WELL EXECUTED,15.37,-1.23,-14.39,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),18.19,13.91,-3.62,GOOD EXIT,Good call,Good call,-0.09
ETERNAL,EARLY EXIT (wasted good entry),10.33,-1.22,-10.47,Below 200 DMA | Death Cross (50<200),6.93,0.36,-6.14,Sold above both DMAs | Sold during improving trend | HUGE MISS (33.8% left on table),Good call,Wrong early sell,33.81
ETERNAL,EARLY EXIT (wasted good entry),10.33,-1.22,-10.47,Below 200 DMA | Death Cross (50<200),6.93,0.36,-6.14,Sold above both DMAs | Sold during improving trend | HUGE MISS (33.8% left on table),Good call,Wrong early sell,33.81
ETERNAL,EARLY EXIT (wasted good entry),10.33,-1.22,-10.47,Below 200 DMA | Death Cross (50<200),6.93,0.36,-6.14,Sold above both DMAs | Sold during improving trend | HUGE MISS (33.8% left on table),Good call,Wrong early sell,33.81
ETERNAL,EARLY EXIT (wasted good entry),10.33,-1.22,-10.47,Below 200 DMA | Death Cross (50<200),6.93,0.36,-6.14,Sold above both DMAs | Sold during improving trend | HUGE MISS (33.8% left on table),Good call,Wrong early sell,33.81
ETERNAL,EARLY EXIT (wasted good entry),10.33,-1.22,-10.47,Below 200 DMA | Death Cross (50<200),6.93,0.36,-6.14,Sold above both DMAs | Sold during improving trend | HUGE MISS (33.8% left on table),Good call,Wrong early sell,33.82
ETERNAL,EARLY EXIT (wasted good entry),10.33,-1.22,-10.47,Below 200 DMA | Death Cross (50<200),6.93,0.36,-6.14,Sold above both DMAs | Sold during improving trend | HUGE MISS (33.8% left on table),Good call,Wrong early sell,33.82
PERSISTENT,WELL EXECUTED,8.98,3.13,-5.36,Death Cross (50<200),9.31,4.66,-4.25,GOOD EXIT,Good call,Good call,-0.68
PERSISTENT,WELL EXECUTED,8.98,3.13,-5.36,Death Cross (50<200),9.31,4.66,-4.25,GOOD EXIT,Good call,Good call,-0.67
PERSISTENT,WELL EXECUTED,8.98,3.13,-5.36,Death Cross (50<200),9.31,4.66,-4.25,GOOD EXIT,Good call,Good call,-0.67
PERSISTENT,WELL EXECUTED,8.98,3.13,-5.36,Death Cross (50<200),9.31,4.66,-4.25,GOOD EXIT,Good call,Good call,-0.67
PERSISTENT,WELL EXECUTED,8.98,3.13,-5.36,Death Cross (50<200),9.31,4.66,-4.25,GOOD EXIT,Good call,Good call,-0.67
PERSISTENT,WELL EXECUTED,8.98,3.13,-5.36,Death Cross (50<200),9.31,4.66,-4.25,GOOD EXIT,Good call,Good call,-0.66
PERSISTENT,WELL EXECUTED,8.98,3.13,-5.36,Death Cross (50<200),9.31,4.66,-4.25,GOOD EXIT,Good call,Good call,-0.66
PERSISTENT,WELL EXECUTED,8.98,3.13,-5.36,Death Cross (50<200),9.31,4.66,-4.25,GOOD EXIT,Good call,Good call,-0.65
PERSISTENT,WELL EXECUTED,8.98,3.13,-5.36,Death Cross (50<200),9.31,4.66,-4.25,GOOD EXIT,Good call,Good call,-0.65
PERSISTENT,WELL EXECUTED,8.98,3.13,-5.36,Death Cross (50<200),9.31,4.66,-4.25,GOOD EXIT,Good call,Good call,-0.65
KAYNES,BOTH: Bad Entry + Early Exit,21.76,16.23,-4.54,Death Cross (50<200) | Overbought (>15% above DMA),-3.66,-0.59,3.18,Sold during improving trend | Panic sold crossing below 50 DMA | Large miss (24.4% left on table),Bad call,Wrong early sell,24.42
SIEMENS,BOTH: Bad Entry + Early Exit,9.4,-9.4,-17.19,Below 200 DMA | Death Cross (50<200),-3.28,-10.0,-6.95,Sold during improving trend | Panic sold crossing below 50 DMA,Bad call,Wrong early sell,1.43
SIEMENS,BOTH: Bad Entry + Early Exit,9.4,-9.4,-17.19,Below 200 DMA | Death Cross (50<200),-3.28,-10.0,-6.95,Sold during improving trend | Panic sold crossing below 50 DMA,Bad call,Wrong early sell,1.43
SIEMENS,BOTH: Bad Entry + Early Exit,9.4,-9.4,-17.19,Below 200 DMA | Death Cross (50<200),-3.28,-10.0,-6.95,Sold during improving trend | Panic sold crossing below 50 DMA,Bad call,Wrong early sell,1.43
SIEMENS,BOTH: Bad Entry + Early Exit,9.4,-9.4,-17.19,Below 200 DMA | Death Cross (50<200),-3.28,-10.0,-6.95,Sold during improving trend | Panic sold crossing below 50 DMA,Bad call,Wrong early sell,1.42
SIEMENS,BOTH: Bad Entry + Early Exit,9.4,-9.4,-17.19,Below 200 DMA | Death Cross (50<200),-3.28,-10.0,-6.95,Sold during improving trend | Panic sold crossing below 50 DMA,Bad call,Wrong early sell,1.43
SIEMENS,BOTH: Bad Entry + Early Exit,9.4,-9.4,-17.19,Below 200 DMA | Death Cross (50<200),-3.28,-10.0,-6.95,Sold during improving trend | Panic sold crossing below 50 DMA,Bad call,Wrong early sell,1.43
SIEMENS,Bad Entry (but saved by good exit),9.4,-9.4,-17.19,Below 200 DMA | Death Cross (50<200),0.32,-5.0,-5.3,GOOD EXIT,Bad call,Good call,-1.36
SIEMENS,Bad Entry (but saved by good exit),9.4,-9.4,-17.19,Below 200 DMA | Death Cross (50<200),0.32,-5.0,-5.3,GOOD EXIT,Bad call,Good call,-1.36
SIEMENS,Bad Entry (but saved by good exit),8.37,-9.43,-16.43,Below 200 DMA | Death Cross (50<200),0.32,-5.0,-5.3,GOOD EXIT,Bad call,Good call,-1.36
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.8% left on table),Good call,Wrong early sell,13.82
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.8% left on table),Good call,Wrong early sell,13.83
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.8% left on table),Good call,Wrong early sell,13.83
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.8% left on table),Good call,Wrong early sell,13.84
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.8% left on table),Good call,Wrong early sell,13.85
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.8% left on table),Good call,Wrong early sell,13.85
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.8% left on table),Good call,Wrong early sell,13.85
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.8% left on table),Good call,Wrong early sell,13.85
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.8% left on table),Good call,Wrong early sell,13.85
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.8% left on table),Good call,Wrong early sell,13.85
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.8% left on table),Good call,Wrong early sell,13.85
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.9% left on table),Good call,Wrong early sell,13.86
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.9% left on table),Good call,Wrong early sell,13.86
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.9% left on table),Good call,Wrong early sell,13.86
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.9% left on table),Good call,Wrong early sell,13.86
MOTILALOFS,EARLY EXIT (wasted good entry),25.8,15.73,-8.01,Death Cross (50<200) | Overbought (>15% above DMA),11.03,17.75,6.05,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Moderate miss (13.9% left on table),Good call,Wrong early sell,13.86
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.39
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.39
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.39
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.39
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.39
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.39
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.39
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.4
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.4
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.4
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.4
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.4
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.4
TRENT,Bad Entry (but saved by good exit),10.4,-5.49,-14.39,Below 200 DMA | Death Cross (50<200),-8.67,-13.97,-5.8,GOOD EXIT,Bad call,Good call,-7.39
ABB,BOTH: Bad Entry + Early Exit,10.92,-5.03,-14.38,Below 200 DMA | Death Cross (50<200),-13.05,-16.93,-4.47,Sold during improving trend | Panic sold crossing below 50 DMA,Bad call,Wrong early sell,2.99
ABB,BOTH: Bad Entry + Early Exit,10.92,-5.03,-14.38,Below 200 DMA | Death Cross (50<200),-5.35,-11.92,-6.94,Sold during improving trend | Panic sold crossing below 50 DMA,Bad call,Wrong early sell,1.11
ABB,BOTH: Bad Entry + Early Exit,10.92,-5.03,-14.38,Below 200 DMA | Death Cross (50<200),-5.35,-11.92,-6.94,Sold during improving trend | Panic sold crossing below 50 DMA,Bad call,Wrong early sell,1.12
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.26
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.25
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.24
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.23
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.23
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.22
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.27
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.25
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.25
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.26
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.23
